storyid	storytitle	sentenceid	sentence
2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9	Different Opinions	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_4	He ended up buying the truck he wanted despite Bobby's advice.
c71bb23b-7731-4233-8298-76ba6886cee1	Overcoming shortcomings	c71bb23b-7731-4233-8298-76ba6886cee1_0	John was a pastor with a very bad memory.
c71bb23b-7731-4233-8298-76ba6886cee1	Overcoming shortcomings	c71bb23b-7731-4233-8298-76ba6886cee1_1	He tried to memorize his sermons many days in advance but to no avail.
c71bb23b-7731-4233-8298-76ba6886cee1	Overcoming shortcomings	c71bb23b-7731-4233-8298-76ba6886cee1_2	He decided to learn to sing to overcome his handicap.
c71bb23b-7731-4233-8298-76ba6886cee1	Overcoming shortcomings	c71bb23b-7731-4233-8298-76ba6886cee1_3	He then made all his sermons into music and sang them on Sundays.
c71bb23b-7731-4233-8298-76ba6886cee1	Overcoming shortcomings	c71bb23b-7731-4233-8298-76ba6886cee1_4	His congregation was delighted and so was he.
4d7b022e-25d2-4300-a9b0-24ab35f4045b	Melody's trip to the aquarium.	4d7b022e-25d2-4300-a9b0-24ab35f4045b_0	Melody's parents surprised her with a trip to the big aquarium.
4d7b022e-25d2-4300-a9b0-24ab35f4045b	Melody's trip to the aquarium.	4d7b022e-25d2-4300-a9b0-24ab35f4045b_1	Melody took a nap during the two hour car ride to the aquarium.
4d7b022e-25d2-4300-a9b0-24ab35f4045b	Melody's trip to the aquarium.	4d7b022e-25d2-4300-a9b0-24ab35f4045b_2	When they arrived, Melody was energetic and excited.
4d7b022e-25d2-4300-a9b0-24ab35f4045b	Melody's trip to the aquarium.	4d7b022e-25d2-4300-a9b0-24ab35f4045b_3	At the aquarium Melody saw sharks, tropical fish and many others.
4d7b022e-25d2-4300-a9b0-24ab35f4045b	Melody's trip to the aquarium.	4d7b022e-25d2-4300-a9b0-24ab35f4045b_4	After five hours at the aquarium, Melody and her family drove home.
8036c905-f23e-4976-83a1-85d679b5e0c2	Pop Quiz	8036c905-f23e-4976-83a1-85d679b5e0c2_0	The math teacher announced a pop quiz as class began.
8036c905-f23e-4976-83a1-85d679b5e0c2	Pop Quiz	8036c905-f23e-4976-83a1-85d679b5e0c2_1	While some students complained, he began passing out the quiz.
8036c905-f23e-4976-83a1-85d679b5e0c2	Pop Quiz	8036c905-f23e-4976-83a1-85d679b5e0c2_2	I took out my pencil and began to work.
8036c905-f23e-4976-83a1-85d679b5e0c2	Pop Quiz	8036c905-f23e-4976-83a1-85d679b5e0c2_3	About 5 minutes later, I finished.
8036c905-f23e-4976-83a1-85d679b5e0c2	Pop Quiz	8036c905-f23e-4976-83a1-85d679b5e0c2_4	I stood up feeling confident and turned it in.
77338898-07d4-4143-8451-284540c8b082	My first girlfriend	77338898-07d4-4143-8451-284540c8b082_0	My first girlfriend i met on the internet.
77338898-07d4-4143-8451-284540c8b082	My first girlfriend	77338898-07d4-4143-8451-284540c8b082_1	She lives about 4 hours away from me.
77338898-07d4-4143-8451-284540c8b082	My first girlfriend	77338898-07d4-4143-8451-284540c8b082_2	Finally after 2 years we met each other.
77338898-07d4-4143-8451-284540c8b082	My first girlfriend	77338898-07d4-4143-8451-284540c8b082_3	She stayed with me for a week or two.
77338898-07d4-4143-8451-284540c8b082	My first girlfriend	77338898-07d4-4143-8451-284540c8b082_4	We decided we couldn't be apart so she moved in with me.
110fafd1-2bb7-4ffe-aac7-475706165d41	Charlie Horse	110fafd1-2bb7-4ffe-aac7-475706165d41_0	I got Charlie Horse when I was four years old.
110fafd1-2bb7-4ffe-aac7-475706165d41	Charlie Horse	110fafd1-2bb7-4ffe-aac7-475706165d41_1	He's a brown stuffed horse, and at 35 I still sleep with him at night.
110fafd1-2bb7-4ffe-aac7-475706165d41	Charlie Horse	110fafd1-2bb7-4ffe-aac7-475706165d41_2	He was my best friend, and always laid at the head of my bed.
110fafd1-2bb7-4ffe-aac7-475706165d41	Charlie Horse	110fafd1-2bb7-4ffe-aac7-475706165d41_3	I laid him next to me, smelling his soft fur every night.
110fafd1-2bb7-4ffe-aac7-475706165d41	Charlie Horse	110fafd1-2bb7-4ffe-aac7-475706165d41_4	I liked to listen to my radio as I fell asleep cuddling him.
13573c2e-5eed-40eb-bbe5-ed259b5c76a6	Corn	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_0	Laura loved corn.
13573c2e-5eed-40eb-bbe5-ed259b5c76a6	Corn	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_1	So she decided to grow some in her backyard.
13573c2e-5eed-40eb-bbe5-ed259b5c76a6	Corn	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_2	The whole process of growing them made her very excited.
13573c2e-5eed-40eb-bbe5-ed259b5c76a6	Corn	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_3	But she realized that they required too much water.
13573c2e-5eed-40eb-bbe5-ed259b5c76a6	Corn	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_4	So Laura quickly abandoned her corn garden idea.
c400d38a-54fc-45da-99ed-558fcfc81016	New Hair Color	c400d38a-54fc-45da-99ed-558fcfc81016_0	Andy was invited to a Halloween party.
c400d38a-54fc-45da-99ed-558fcfc81016	New Hair Color	c400d38a-54fc-45da-99ed-558fcfc81016_1	Andy figured that for dramatic effect, he should color his hair.
c400d38a-54fc-45da-99ed-558fcfc81016	New Hair Color	c400d38a-54fc-45da-99ed-558fcfc81016_2	Since Andy's costume was green, Andy decided on that color.
c400d38a-54fc-45da-99ed-558fcfc81016	New Hair Color	c400d38a-54fc-45da-99ed-558fcfc81016_3	After the stylist finished the coloring, Andy regretted it.
c400d38a-54fc-45da-99ed-558fcfc81016	New Hair Color	c400d38a-54fc-45da-99ed-558fcfc81016_4	Andy was disappointed with his new, bold, green hair color.
8fbef343-8806-4bcf-9326-08ca6ebf6cb9	Winner	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_0	Luke was playing hockey at school.
8fbef343-8806-4bcf-9326-08ca6ebf6cb9	Winner	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_1	The game was tied and almost over.
8fbef343-8806-4bcf-9326-08ca6ebf6cb9	Winner	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_2	Then Luke made the winning shot!
8fbef343-8806-4bcf-9326-08ca6ebf6cb9	Winner	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_3	Everybody cheered!
8fbef343-8806-4bcf-9326-08ca6ebf6cb9	Winner	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_4	Luke was so proud of himself!
3be3719a-ae77-4106-88ea-988afb19db99	Cross country	3be3719a-ae77-4106-88ea-988afb19db99_0	Robbie was competing in a cross country meet.
3be3719a-ae77-4106-88ea-988afb19db99	Cross country	3be3719a-ae77-4106-88ea-988afb19db99_1	He was halfway through when his leg cramped up.
3be3719a-ae77-4106-88ea-988afb19db99	Cross country	3be3719a-ae77-4106-88ea-988afb19db99_2	Robbie wasn't sure he could go on.
3be3719a-ae77-4106-88ea-988afb19db99	Cross country	3be3719a-ae77-4106-88ea-988afb19db99_3	He stopped for a minute and stretched his bad leg.
3be3719a-ae77-4106-88ea-988afb19db99	Cross country	3be3719a-ae77-4106-88ea-988afb19db99_4	Robbie began to run again and finished the race in second place.
a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	Traffic Troubles	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_0	Jude was very excited about his college graduation ceremony.
a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	Traffic Troubles	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_1	On the way to the arena, he got stuck in traffic.
a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	Traffic Troubles	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_2	He only had an hour before the ceremony started.
a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	Traffic Troubles	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_3	He thought he wasn't going to be able to make it in time.
a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	Traffic Troubles	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_4	Luckily, the traffic cleared up in time for him to get to the ceremony.
8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	Not Santa	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_0	Beth sent a letter to Santa Claus.
8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	Not Santa	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_1	She received a letter back in the mail.
8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	Not Santa	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_2	Beth did not think that it sounded like the real Santa.
8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	Not Santa	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_3	She sent another letter calling that Santa a fake.
8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	Not Santa	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_4	She did not receive another letter back in the mail.
b94e1810-9869-4af6-bb74-b4a51c46f3d2	Getting to the Store	b94e1810-9869-4af6-bb74-b4a51c46f3d2_0	Jake needed a ride to the store.
b94e1810-9869-4af6-bb74-b4a51c46f3d2	Getting to the Store	b94e1810-9869-4af6-bb74-b4a51c46f3d2_1	His girlfriend was working and wouldn't take him.
b94e1810-9869-4af6-bb74-b4a51c46f3d2	Getting to the Store	b94e1810-9869-4af6-bb74-b4a51c46f3d2_2	His brother was in the middle of a movie and said no.
b94e1810-9869-4af6-bb74-b4a51c46f3d2	Getting to the Store	b94e1810-9869-4af6-bb74-b4a51c46f3d2_3	Jake decided to take the bus to the store.
b94e1810-9869-4af6-bb74-b4a51c46f3d2	Getting to the Store	b94e1810-9869-4af6-bb74-b4a51c46f3d2_4	He got what he needed all by himself.
ae7e744e-fd27-46c2-befb-7e8427cb679c	Storm	ae7e744e-fd27-46c2-befb-7e8427cb679c_0	My dog is terrified of thunder.
ae7e744e-fd27-46c2-befb-7e8427cb679c	Storm	ae7e744e-fd27-46c2-befb-7e8427cb679c_1	There was a storm today.
ae7e744e-fd27-46c2-befb-7e8427cb679c	Storm	ae7e744e-fd27-46c2-befb-7e8427cb679c_2	He came running into my office.
ae7e744e-fd27-46c2-befb-7e8427cb679c	Storm	ae7e744e-fd27-46c2-befb-7e8427cb679c_3	He hid in the kneehole of my desk, trembling.
ae7e744e-fd27-46c2-befb-7e8427cb679c	Storm	ae7e744e-fd27-46c2-befb-7e8427cb679c_4	Once the storm was over, he acted like a brave dog again.
f3643541-c339-4377-851d-144ea400d551	Stepmother	f3643541-c339-4377-851d-144ea400d551_0	Eric and his wife had a daughter named Meg.
f3643541-c339-4377-851d-144ea400d551	Stepmother	f3643541-c339-4377-851d-144ea400d551_1	Eric's wife passed away.
f3643541-c339-4377-851d-144ea400d551	Stepmother	f3643541-c339-4377-851d-144ea400d551_2	Eric and Meg were very sad.
f3643541-c339-4377-851d-144ea400d551	Stepmother	f3643541-c339-4377-851d-144ea400d551_3	Eric met a woman and married her 5 years after his wife died.
f3643541-c339-4377-851d-144ea400d551	Stepmother	f3643541-c339-4377-851d-144ea400d551_4	Meg is now happy with her new stepmother.
2ef3788f-6b2b-45c8-b6ba-71450d565e6a	Maine	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_0	Last year I took a day trip to see a friend in Maine.
2ef3788f-6b2b-45c8-b6ba-71450d565e6a	Maine	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_1	I took the Amtrak from Boston to Saco, Maine.
2ef3788f-6b2b-45c8-b6ba-71450d565e6a	Maine	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_2	We had lunch at Gritty's in Portland.
2ef3788f-6b2b-45c8-b6ba-71450d565e6a	Maine	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_3	My friend drove me back to the train station.
2ef3788f-6b2b-45c8-b6ba-71450d565e6a	Maine	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_4	I had a nice time and will visit my friend this year.
9a66b66d-034d-495e-a60e-e22c25e0e0fa	Heather cooks Tacos for the first time.	9a66b66d-034d-495e-a60e-e22c25e0e0fa_0	Heather and her family really wanted tacos for dinner.
9a66b66d-034d-495e-a60e-e22c25e0e0fa	Heather cooks Tacos for the first time.	9a66b66d-034d-495e-a60e-e22c25e0e0fa_1	Two of the children wanted chicken tacos.
9a66b66d-034d-495e-a60e-e22c25e0e0fa	Heather cooks Tacos for the first time.	9a66b66d-034d-495e-a60e-e22c25e0e0fa_2	The other two children wanted beef.
9a66b66d-034d-495e-a60e-e22c25e0e0fa	Heather cooks Tacos for the first time.	9a66b66d-034d-495e-a60e-e22c25e0e0fa_3	Heather took great care preparing all the tacos that each wanted.
9a66b66d-034d-495e-a60e-e22c25e0e0fa	Heather cooks Tacos for the first time.	9a66b66d-034d-495e-a60e-e22c25e0e0fa_4	Everyone sat down at dinner and enjoyed eating the tacos together.
aab4ee80-fc00-4d9c-a127-a63b54dfd193	Suet	aab4ee80-fc00-4d9c-a127-a63b54dfd193_0	Anna was filling her bird feeders.
aab4ee80-fc00-4d9c-a127-a63b54dfd193	Suet	aab4ee80-fc00-4d9c-a127-a63b54dfd193_1	But a chunk of suet fell onto the ground.
aab4ee80-fc00-4d9c-a127-a63b54dfd193	Suet	aab4ee80-fc00-4d9c-a127-a63b54dfd193_2	Her dog rushed over and lapped it up!
aab4ee80-fc00-4d9c-a127-a63b54dfd193	Suet	aab4ee80-fc00-4d9c-a127-a63b54dfd193_3	Anna was astonished.
aab4ee80-fc00-4d9c-a127-a63b54dfd193	Suet	aab4ee80-fc00-4d9c-a127-a63b54dfd193_4	She had no idea dogs loved bird food!
a107d361-e8a4-4cb6-8ffb-623a4c49ee1e	Stacy Changes Her Mind	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_0	Stacy originally thought she wanted five kids.
a107d361-e8a4-4cb6-8ffb-623a4c49ee1e	Stacy Changes Her Mind	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_1	She and Bob first were blessed with a daughter.
a107d361-e8a4-4cb6-8ffb-623a4c49ee1e	Stacy Changes Her Mind	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_2	Two years later, they had twin girls.
a107d361-e8a4-4cb6-8ffb-623a4c49ee1e	Stacy Changes Her Mind	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_3	Now, Stacy is selling all her maternity and baby clothes.
a107d361-e8a4-4cb6-8ffb-623a4c49ee1e	Stacy Changes Her Mind	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_4	She says she has changed her mind about wanting five kids!
04c164f6-da41-48a3-8aa3-eb7b650bb5f0	Office Party	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_0	Larry worked at an accounting firm.
04c164f6-da41-48a3-8aa3-eb7b650bb5f0	Office Party	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_1	It was a boring job but it paid the bills.
04c164f6-da41-48a3-8aa3-eb7b650bb5f0	Office Party	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_2	Larry grew tired of doing the same thing every day.
04c164f6-da41-48a3-8aa3-eb7b650bb5f0	Office Party	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_3	He had the idea to have an office party.
04c164f6-da41-48a3-8aa3-eb7b650bb5f0	Office Party	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_4	By lunch the whole office had passed out and nothing got done.
8ca3cedb-510e-4454-ba08-93eaa605563b	Swimmer	8ca3cedb-510e-4454-ba08-93eaa605563b_0	Ava was six years old.
8ca3cedb-510e-4454-ba08-93eaa605563b	Swimmer	8ca3cedb-510e-4454-ba08-93eaa605563b_1	She wanted to learn to swim.
8ca3cedb-510e-4454-ba08-93eaa605563b	Swimmer	8ca3cedb-510e-4454-ba08-93eaa605563b_2	Her mom took her to the pool.
8ca3cedb-510e-4454-ba08-93eaa605563b	Swimmer	8ca3cedb-510e-4454-ba08-93eaa605563b_3	There, she patiently taught Ava the basics.
8ca3cedb-510e-4454-ba08-93eaa605563b	Swimmer	8ca3cedb-510e-4454-ba08-93eaa605563b_4	Soon Ava was paddling all by herself!
271616db-90c2-4303-9c2b-64f4061ceb56	The missing wallet	271616db-90c2-4303-9c2b-64f4061ceb56_0	James was walking down a street one afternoon.
271616db-90c2-4303-9c2b-64f4061ceb56	The missing wallet	271616db-90c2-4303-9c2b-64f4061ceb56_1	He noticed a wallet lying on the ground.
271616db-90c2-4303-9c2b-64f4061ceb56	The missing wallet	271616db-90c2-4303-9c2b-64f4061ceb56_2	He decided to bring it to the police station.
271616db-90c2-4303-9c2b-64f4061ceb56	The missing wallet	271616db-90c2-4303-9c2b-64f4061ceb56_3	That evening, the phone rang.
271616db-90c2-4303-9c2b-64f4061ceb56	The missing wallet	271616db-90c2-4303-9c2b-64f4061ceb56_4	The old man had called to thank James for returning his wallet.
b93f956f-2256-4c6d-91d2-7675dff455f0	Dog's Behavior	b93f956f-2256-4c6d-91d2-7675dff455f0_0	Chad's dog would always jump on people.
b93f956f-2256-4c6d-91d2-7675dff455f0	Dog's Behavior	b93f956f-2256-4c6d-91d2-7675dff455f0_1	Chad couldn't bring his dog anywhere.
b93f956f-2256-4c6d-91d2-7675dff455f0	Dog's Behavior	b93f956f-2256-4c6d-91d2-7675dff455f0_2	Chad decided to hire a dog trainer.
b93f956f-2256-4c6d-91d2-7675dff455f0	Dog's Behavior	b93f956f-2256-4c6d-91d2-7675dff455f0_3	The trainer taught the dog how to behave.
b93f956f-2256-4c6d-91d2-7675dff455f0	Dog's Behavior	b93f956f-2256-4c6d-91d2-7675dff455f0_4	Chad was proud to finally show off his dog to others.
d869c6d9-4a06-4d94-bf97-dc37167a5520	Sliding Into Second	d869c6d9-4a06-4d94-bf97-dc37167a5520_0	Karl was a good baseball player in his youth.
d869c6d9-4a06-4d94-bf97-dc37167a5520	Sliding Into Second	d869c6d9-4a06-4d94-bf97-dc37167a5520_1	As a middle-aged man, he joined an adult baseball team.
d869c6d9-4a06-4d94-bf97-dc37167a5520	Sliding Into Second	d869c6d9-4a06-4d94-bf97-dc37167a5520_2	Karl is very competitive and will do anything to win.
d869c6d9-4a06-4d94-bf97-dc37167a5520	Sliding Into Second	d869c6d9-4a06-4d94-bf97-dc37167a5520_3	One day, he slid into second base to beat a throw and hurt his knee.
d869c6d9-4a06-4d94-bf97-dc37167a5520	Sliding Into Second	d869c6d9-4a06-4d94-bf97-dc37167a5520_4	The injury made Karl realize that he wasn't young anymore.
f7559f25-0358-4f57-b079-dec2199b4ec3	The Roommate	f7559f25-0358-4f57-b079-dec2199b4ec3_0	Nick was trying to buy a house.
f7559f25-0358-4f57-b079-dec2199b4ec3	The Roommate	f7559f25-0358-4f57-b079-dec2199b4ec3_1	He lived with a roommate that he couldn't trust.
f7559f25-0358-4f57-b079-dec2199b4ec3	The Roommate	f7559f25-0358-4f57-b079-dec2199b4ec3_2	His stuff always ended up missing from his bedroom.
f7559f25-0358-4f57-b079-dec2199b4ec3	The Roommate	f7559f25-0358-4f57-b079-dec2199b4ec3_3	He knew it had to be Nick so he decided he would move out.
f7559f25-0358-4f57-b079-dec2199b4ec3	The Roommate	f7559f25-0358-4f57-b079-dec2199b4ec3_4	He found a place and moved out as fast as he could.
1e379d2b-69e8-485e-92ac-4c3daa41e364	Fat Goldfish	1e379d2b-69e8-485e-92ac-4c3daa41e364_0	Jody bought a goldfish from the pet store.
1e379d2b-69e8-485e-92ac-4c3daa41e364	Fat Goldfish	1e379d2b-69e8-485e-92ac-4c3daa41e364_1	She noticed that the goldfish looked quite fat.
1e379d2b-69e8-485e-92ac-4c3daa41e364	Fat Goldfish	1e379d2b-69e8-485e-92ac-4c3daa41e364_2	Her mom told her that the goldfish had too much to eat.
1e379d2b-69e8-485e-92ac-4c3daa41e364	Fat Goldfish	1e379d2b-69e8-485e-92ac-4c3daa41e364_3	Jody adjusted her pet's diet.
1e379d2b-69e8-485e-92ac-4c3daa41e364	Fat Goldfish	1e379d2b-69e8-485e-92ac-4c3daa41e364_4	The goldfish got skinnier and healthier.
0dd3e2c3-3ea4-450a-97c4-42a54c426018	Jane's New Job	0dd3e2c3-3ea4-450a-97c4-42a54c426018_0	Jane had recently gotten a new job.
0dd3e2c3-3ea4-450a-97c4-42a54c426018	Jane's New Job	0dd3e2c3-3ea4-450a-97c4-42a54c426018_1	She was nervous about her first day of work.
0dd3e2c3-3ea4-450a-97c4-42a54c426018	Jane's New Job	0dd3e2c3-3ea4-450a-97c4-42a54c426018_2	On the first day of work, Jane overslept.
0dd3e2c3-3ea4-450a-97c4-42a54c426018	Jane's New Job	0dd3e2c3-3ea4-450a-97c4-42a54c426018_3	Jane arrived at work an hour late.
0dd3e2c3-3ea4-450a-97c4-42a54c426018	Jane's New Job	0dd3e2c3-3ea4-450a-97c4-42a54c426018_4	Jane did not make a good impression at her new job.
865db3c4-a253-4d35-8766-25fc7e0a8cfb	The Amazon	865db3c4-a253-4d35-8766-25fc7e0a8cfb_0	Jill was going on a trip to the amazon.
865db3c4-a253-4d35-8766-25fc7e0a8cfb	The Amazon	865db3c4-a253-4d35-8766-25fc7e0a8cfb_1	She arrived after a flight from the US.
865db3c4-a253-4d35-8766-25fc7e0a8cfb	The Amazon	865db3c4-a253-4d35-8766-25fc7e0a8cfb_2	Once there she marveled at all the beauty.
865db3c4-a253-4d35-8766-25fc7e0a8cfb	The Amazon	865db3c4-a253-4d35-8766-25fc7e0a8cfb_3	It was dangerous, but exciting.
865db3c4-a253-4d35-8766-25fc7e0a8cfb	The Amazon	865db3c4-a253-4d35-8766-25fc7e0a8cfb_4	Jill had a wonderful time on her trip to the Amazon.
88fba119-ccac-4b82-881f-e609e188bebc	Chris the Lawyer	88fba119-ccac-4b82-881f-e609e188bebc_0	Chris is a defense attorney.
88fba119-ccac-4b82-881f-e609e188bebc	Chris the Lawyer	88fba119-ccac-4b82-881f-e609e188bebc_1	He has a client that he must defend in court.
88fba119-ccac-4b82-881f-e609e188bebc	Chris the Lawyer	88fba119-ccac-4b82-881f-e609e188bebc_2	The client is not guilty.
88fba119-ccac-4b82-881f-e609e188bebc	Chris the Lawyer	88fba119-ccac-4b82-881f-e609e188bebc_3	Chris does his best to defend his client during his trial.
88fba119-ccac-4b82-881f-e609e188bebc	Chris the Lawyer	88fba119-ccac-4b82-881f-e609e188bebc_4	Chris wins the case and the client goes free.
1cc75245-93bd-44cc-b076-8d1b249e1ee5	Julie's Bad pizza	1cc75245-93bd-44cc-b076-8d1b249e1ee5_0	Julie was feeling hungry.
1cc75245-93bd-44cc-b076-8d1b249e1ee5	Julie's Bad pizza	1cc75245-93bd-44cc-b076-8d1b249e1ee5_1	She thought she would order some Pizza.
1cc75245-93bd-44cc-b076-8d1b249e1ee5	Julie's Bad pizza	1cc75245-93bd-44cc-b076-8d1b249e1ee5_2	Julie order the food through an online website.
1cc75245-93bd-44cc-b076-8d1b249e1ee5	Julie's Bad pizza	1cc75245-93bd-44cc-b076-8d1b249e1ee5_3	The pizza arrived and Julie tipped the driver.
1cc75245-93bd-44cc-b076-8d1b249e1ee5	Julie's Bad pizza	1cc75245-93bd-44cc-b076-8d1b249e1ee5_4	Julie went to take a bite of the pizza and it was burnt!
bfa4ef8c-715d-4287-88a5-035611e34e40	Fear of Dogs	bfa4ef8c-715d-4287-88a5-035611e34e40_0	Justin was terrified of dogs.
bfa4ef8c-715d-4287-88a5-035611e34e40	Fear of Dogs	bfa4ef8c-715d-4287-88a5-035611e34e40_1	His girlfriend had a dog and he wanted to feel comfortable with it.
bfa4ef8c-715d-4287-88a5-035611e34e40	Fear of Dogs	bfa4ef8c-715d-4287-88a5-035611e34e40_2	Justin went to therapy to help him get over his fear.
bfa4ef8c-715d-4287-88a5-035611e34e40	Fear of Dogs	bfa4ef8c-715d-4287-88a5-035611e34e40_3	After a few months of therapy Justin felt better around dogs.
bfa4ef8c-715d-4287-88a5-035611e34e40	Fear of Dogs	bfa4ef8c-715d-4287-88a5-035611e34e40_4	Justin then moved in with his girlfriend and her dog.
210d56ce-a940-4766-9b7b-d086b2c5682d	Falling down	210d56ce-a940-4766-9b7b-d086b2c5682d_0	David was walking down the street when he fell down.
210d56ce-a940-4766-9b7b-d086b2c5682d	Falling down	210d56ce-a940-4766-9b7b-d086b2c5682d_1	He stood up and saw that his knee was bleeding.
210d56ce-a940-4766-9b7b-d086b2c5682d	Falling down	210d56ce-a940-4766-9b7b-d086b2c5682d_2	He found a handkerchief in his pants and applied it to the wound.
