storyid	questionid	answer_sentenceid	answer
c71bb23b-7731-4233-8298-76ba6886cee1	c71bb23b-7731-4233-8298-76ba6886cee1_Q2	c71bb23b-7731-4233-8298-76ba6886cee1_4	Yes, his congregation was delighted.
c71bb23b-7731-4233-8298-76ba6886cee1	c71bb23b-7731-4233-8298-76ba6886cee1_Q3	-	-
4d7b022e-25d2-4300-a9b0-24ab35f4045b	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q0	4d7b022e-25d2-4300-a9b0-24ab35f4045b_0	the big aquarium
4d7b022e-25d2-4300-a9b0-24ab35f4045b	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q1	4d7b022e-25d2-4300-a9b0-24ab35f4045b_1	two hours
4d7b022e-25d2-4300-a9b0-24ab35f4045b	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q2	4d7b022e-25d2-4300-a9b0-24ab35f4045b_3	sharks, tropical fish and many others
4d7b022e-25d2-4300-a9b0-24ab35f4045b	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q3	4d7b022e-25d2-4300-a9b0-24ab35f4045b_4	five hours
8036c905-f23e-4976-83a1-85d679b5e0c2	8036c905-f23e-4976-83a1-85d679b5e0c2_Q0	8036c905-f23e-4976-83a1-85d679b5e0c2_0	The math teacher
8036c905-f23e-4976-83a1-85d679b5e0c2	8036c905-f23e-4976-83a1-85d679b5e0c2_Q1	8036c905-f23e-4976-83a1-85d679b5e0c2_3	5 minutes later
8036c905-f23e-4976-83a1-85d679b5e0c2	8036c905-f23e-4976-83a1-85d679b5e0c2_Q2	8036c905-f23e-4976-83a1-85d679b5e0c2_1	some students
8036c905-f23e-4976-83a1-85d679b5e0c2	8036c905-f23e-4976-83a1-85d679b5e0c2_Q3	8036c905-f23e-4976-83a1-85d679b5e0c2_4	confident
77338898-07d4-4143-8451-284540c8b082	77338898-07d4-4143-8451-284540c8b082_Q0	77338898-07d4-4143-8451-284540c8b082_1	4 hours away from me
77338898-07d4-4143-8451-284540c8b082	77338898-07d4-4143-8451-284540c8b082_Q1	77338898-07d4-4143-8451-284540c8b082_0	on the internet
77338898-07d4-4143-8451-284540c8b082	77338898-07d4-4143-8451-284540c8b082_Q2	77338898-07d4-4143-8451-284540c8b082_3	for a week or two
77338898-07d4-4143-8451-284540c8b082	77338898-07d4-4143-8451-284540c8b082_Q3	77338898-07d4-4143-8451-284540c8b082_4	We decided we couldn't be apart.
110fafd1-2bb7-4ffe-aac7-475706165d41	110fafd1-2bb7-4ffe-aac7-475706165d41_Q0	110fafd1-2bb7-4ffe-aac7-475706165d41_0	when I was 4 years old
110fafd1-2bb7-4ffe-aac7-475706165d41	110fafd1-2bb7-4ffe-aac7-475706165d41_Q1	110fafd1-2bb7-4ffe-aac7-475706165d41_1	35
110fafd1-2bb7-4ffe-aac7-475706165d41	110fafd1-2bb7-4ffe-aac7-475706165d41_Q2	110fafd1-2bb7-4ffe-aac7-475706165d41_1	brown
110fafd1-2bb7-4ffe-aac7-475706165d41	110fafd1-2bb7-4ffe-aac7-475706165d41_Q3	110fafd1-2bb7-4ffe-aac7-475706165d41_4	listen to my radio
13573c2e-5eed-40eb-bbe5-ed259b5c76a6	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q0	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_0	corn
13573c2e-5eed-40eb-bbe5-ed259b5c76a6	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q1	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_1	in her backyard
13573c2e-5eed-40eb-bbe5-ed259b5c76a6	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q2	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_3	corn required too much water
13573c2e-5eed-40eb-bbe5-ed259b5c76a6	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q3	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_4	her corn garden idea
c400d38a-54fc-45da-99ed-558fcfc81016	c400d38a-54fc-45da-99ed-558fcfc81016_Q0	c400d38a-54fc-45da-99ed-558fcfc81016_2	green
c400d38a-54fc-45da-99ed-558fcfc81016	c400d38a-54fc-45da-99ed-558fcfc81016_Q1	c400d38a-54fc-45da-99ed-558fcfc81016_2	green
c400d38a-54fc-45da-99ed-558fcfc81016	c400d38a-54fc-45da-99ed-558fcfc81016_Q2	c400d38a-54fc-45da-99ed-558fcfc81016_3	the stylist
c400d38a-54fc-45da-99ed-558fcfc81016	c400d38a-54fc-45da-99ed-558fcfc81016_Q3	c400d38a-54fc-45da-99ed-558fcfc81016_3	No, he regretted it.
8fbef343-8806-4bcf-9326-08ca6ebf6cb9	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_Q0	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_0	hockey
8fbef343-8806-4bcf-9326-08ca6ebf6cb9	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_Q1	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_2	Luke
8fbef343-8806-4bcf-9326-08ca6ebf6cb9	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_Q2	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_3	everybody
8fbef343-8806-4bcf-9326-08ca6ebf6cb9	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_Q3	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_4	Luke was so proud of himself.
3be3719a-ae77-4106-88ea-988afb19db99	3be3719a-ae77-4106-88ea-988afb19db99_Q0	3be3719a-ae77-4106-88ea-988afb19db99_1	his leg cramped up
3be3719a-ae77-4106-88ea-988afb19db99	3be3719a-ae77-4106-88ea-988afb19db99_Q1	3be3719a-ae77-4106-88ea-988afb19db99_3	a minute
3be3719a-ae77-4106-88ea-988afb19db99	3be3719a-ae77-4106-88ea-988afb19db99_Q2	3be3719a-ae77-4106-88ea-988afb19db99_4	Yes, he finished the race in second place
3be3719a-ae77-4106-88ea-988afb19db99	3be3719a-ae77-4106-88ea-988afb19db99_Q3	3be3719a-ae77-4106-88ea-988afb19db99_4	second
a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_Q0	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_0	Jude
a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_Q1	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_1	at the arena
a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_Q2	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_4	Yes, the traffic cleared up in time for him to get to the ceremony
a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_Q3	-	-
8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q0	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_0	Santa Claus
8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q1	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_1	a letter
8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q2	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_2	No, Beth did not think that it sounded like the real Santa.
8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q3	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_3	a fake
b94e1810-9869-4af6-bb74-b4a51c46f3d2	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q0	b94e1810-9869-4af6-bb74-b4a51c46f3d2_3	He took the the bus
b94e1810-9869-4af6-bb74-b4a51c46f3d2	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q1	b94e1810-9869-4af6-bb74-b4a51c46f3d2_1	his girlfriend
b94e1810-9869-4af6-bb74-b4a51c46f3d2	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q2	b94e1810-9869-4af6-bb74-b4a51c46f3d2_2	his brother
b94e1810-9869-4af6-bb74-b4a51c46f3d2	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q3	-	-
ae7e744e-fd27-46c2-befb-7e8427cb679c	ae7e744e-fd27-46c2-befb-7e8427cb679c_Q0	ae7e744e-fd27-46c2-befb-7e8427cb679c_0	thunder
ae7e744e-fd27-46c2-befb-7e8427cb679c	ae7e744e-fd27-46c2-befb-7e8427cb679c_Q1	ae7e744e-fd27-46c2-befb-7e8427cb679c_3	in the kneehole of my desk
f3643541-c339-4377-851d-144ea400d551	f3643541-c339-4377-851d-144ea400d551_Q0	f3643541-c339-4377-851d-144ea400d551_1	She passed away
f3643541-c339-4377-851d-144ea400d551	f3643541-c339-4377-851d-144ea400d551_Q1	f3643541-c339-4377-851d-144ea400d551_0	Eric
f3643541-c339-4377-851d-144ea400d551	f3643541-c339-4377-851d-144ea400d551_Q2	f3643541-c339-4377-851d-144ea400d551_3	5 years
f3643541-c339-4377-851d-144ea400d551	f3643541-c339-4377-851d-144ea400d551_Q3	f3643541-c339-4377-851d-144ea400d551_2	Eric and Meg
2ef3788f-6b2b-45c8-b6ba-71450d565e6a	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q0	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_1	Saco, Maine
2ef3788f-6b2b-45c8-b6ba-71450d565e6a	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q1	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_2	at Gritty's in Portland
2ef3788f-6b2b-45c8-b6ba-71450d565e6a	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q2	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_1	I took the Amtrak from Boston to Saco, Maine.
2ef3788f-6b2b-45c8-b6ba-71450d565e6a	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q3	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_3	my friend
9a66b66d-034d-495e-a60e-e22c25e0e0fa	9a66b66d-034d-495e-a60e-e22c25e0e0fa_Q0	9a66b66d-034d-495e-a60e-e22c25e0e0fa_0	tacos
9a66b66d-034d-495e-a60e-e22c25e0e0fa	9a66b66d-034d-495e-a60e-e22c25e0e0fa_Q1	9a66b66d-034d-495e-a60e-e22c25e0e0fa_3	Heather
aab4ee80-fc00-4d9c-a127-a63b54dfd193	aab4ee80-fc00-4d9c-a127-a63b54dfd193_Q0	-	-
a107d361-e8a4-4cb6-8ffb-623a4c49ee1e	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q0	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_0	five
a107d361-e8a4-4cb6-8ffb-623a4c49ee1e	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q1	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_2	two, twin girls
a107d361-e8a4-4cb6-8ffb-623a4c49ee1e	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q2	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_3	Stacy is selling all her maternity and baby clothes
a107d361-e8a4-4cb6-8ffb-623a4c49ee1e	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q3	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_4	She says she has changed her mind about wanting five kids!
04c164f6-da41-48a3-8aa3-eb7b650bb5f0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_0	at an accounting firm
04c164f6-da41-48a3-8aa3-eb7b650bb5f0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q1	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_2	No, he grew tired of doing the same thing every day.
04c164f6-da41-48a3-8aa3-eb7b650bb5f0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q2	-	-
04c164f6-da41-48a3-8aa3-eb7b650bb5f0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q3	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_4	By lunch the whole office had passed out and nothing got done.
8ca3cedb-510e-4454-ba08-93eaa605563b	8ca3cedb-510e-4454-ba08-93eaa605563b_Q0	8ca3cedb-510e-4454-ba08-93eaa605563b_0	six
8ca3cedb-510e-4454-ba08-93eaa605563b	8ca3cedb-510e-4454-ba08-93eaa605563b_Q1	8ca3cedb-510e-4454-ba08-93eaa605563b_3	Her mom
8ca3cedb-510e-4454-ba08-93eaa605563b	8ca3cedb-510e-4454-ba08-93eaa605563b_Q2	8ca3cedb-510e-4454-ba08-93eaa605563b_4	Yes
8ca3cedb-510e-4454-ba08-93eaa605563b	8ca3cedb-510e-4454-ba08-93eaa605563b_Q3	8ca3cedb-510e-4454-ba08-93eaa605563b_2	to the pool
271616db-90c2-4303-9c2b-64f4061ceb56	271616db-90c2-4303-9c2b-64f4061ceb56_Q0	271616db-90c2-4303-9c2b-64f4061ceb56_1	a wallet
271616db-90c2-4303-9c2b-64f4061ceb56	271616db-90c2-4303-9c2b-64f4061ceb56_Q1	271616db-90c2-4303-9c2b-64f4061ceb56_2	the police station
271616db-90c2-4303-9c2b-64f4061ceb56	271616db-90c2-4303-9c2b-64f4061ceb56_Q2	271616db-90c2-4303-9c2b-64f4061ceb56_3	That evening
271616db-90c2-4303-9c2b-64f4061ceb56	271616db-90c2-4303-9c2b-64f4061ceb56_Q3	271616db-90c2-4303-9c2b-64f4061ceb56_4	The old man
b93f956f-2256-4c6d-91d2-7675dff455f0	b93f956f-2256-4c6d-91d2-7675dff455f0_Q0	b93f956f-2256-4c6d-91d2-7675dff455f0_0	Chad's dog
b93f956f-2256-4c6d-91d2-7675dff455f0	b93f956f-2256-4c6d-91d2-7675dff455f0_Q1	b93f956f-2256-4c6d-91d2-7675dff455f0_2	a dog trainer
b93f956f-2256-4c6d-91d2-7675dff455f0	b93f956f-2256-4c6d-91d2-7675dff455f0_Q2	b93f956f-2256-4c6d-91d2-7675dff455f0_3	How to behave
b93f956f-2256-4c6d-91d2-7675dff455f0	b93f956f-2256-4c6d-91d2-7675dff455f0_Q3	b93f956f-2256-4c6d-91d2-7675dff455f0_4	He could show off his dog
d869c6d9-4a06-4d94-bf97-dc37167a5520	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q0	d869c6d9-4a06-4d94-bf97-dc37167a5520_0	in his youth
d869c6d9-4a06-4d94-bf97-dc37167a5520	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q1	d869c6d9-4a06-4d94-bf97-dc37167a5520_1	an adult baseball team
d869c6d9-4a06-4d94-bf97-dc37167a5520	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q2	d869c6d9-4a06-4d94-bf97-dc37167a5520_2	He is very competitive
d869c6d9-4a06-4d94-bf97-dc37167a5520	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q3	d869c6d9-4a06-4d94-bf97-dc37167a5520_3	he slid into second base
f7559f25-0358-4f57-b079-dec2199b4ec3	f7559f25-0358-4f57-b079-dec2199b4ec3_Q0	f7559f25-0358-4f57-b079-dec2199b4ec3_0	a house
f7559f25-0358-4f57-b079-dec2199b4ec3	f7559f25-0358-4f57-b079-dec2199b4ec3_Q1	f7559f25-0358-4f57-b079-dec2199b4ec3_1	His roommate
f7559f25-0358-4f57-b079-dec2199b4ec3	f7559f25-0358-4f57-b079-dec2199b4ec3_Q2	f7559f25-0358-4f57-b079-dec2199b4ec3_2	his roommate took his stuff
f7559f25-0358-4f57-b079-dec2199b4ec3	f7559f25-0358-4f57-b079-dec2199b4ec3_Q3	f7559f25-0358-4f57-b079-dec2199b4ec3_4	as fast as he could
1e379d2b-69e8-485e-92ac-4c3daa41e364	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q0	1e379d2b-69e8-485e-92ac-4c3daa41e364_0	a goldfish
1e379d2b-69e8-485e-92ac-4c3daa41e364	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q1	1e379d2b-69e8-485e-92ac-4c3daa41e364_0	the pet store
1e379d2b-69e8-485e-92ac-4c3daa41e364	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q2	1e379d2b-69e8-485e-92ac-4c3daa41e364_2	It ate too much
1e379d2b-69e8-485e-92ac-4c3daa41e364	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q3	1e379d2b-69e8-485e-92ac-4c3daa41e364_4	it got skinnier and healthier
0dd3e2c3-3ea4-450a-97c4-42a54c426018	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q0	0dd3e2c3-3ea4-450a-97c4-42a54c426018_0	a new job
0dd3e2c3-3ea4-450a-97c4-42a54c426018	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q1	0dd3e2c3-3ea4-450a-97c4-42a54c426018_2	Her first day of work
0dd3e2c3-3ea4-450a-97c4-42a54c426018	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q2	0dd3e2c3-3ea4-450a-97c4-42a54c426018_2	An hour late
0dd3e2c3-3ea4-450a-97c4-42a54c426018	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q3	0dd3e2c3-3ea4-450a-97c4-42a54c426018_4	She did not make a good impression
865db3c4-a253-4d35-8766-25fc7e0a8cfb	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q0	865db3c4-a253-4d35-8766-25fc7e0a8cfb_0	the amazon
865db3c4-a253-4d35-8766-25fc7e0a8cfb	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q1	865db3c4-a253-4d35-8766-25fc7e0a8cfb_2	the beauty
865db3c4-a253-4d35-8766-25fc7e0a8cfb	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q2	865db3c4-a253-4d35-8766-25fc7e0a8cfb_1	The US
865db3c4-a253-4d35-8766-25fc7e0a8cfb	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q3	865db3c4-a253-4d35-8766-25fc7e0a8cfb_4	She had a wonderful time
88fba119-ccac-4b82-881f-e609e188bebc	88fba119-ccac-4b82-881f-e609e188bebc_Q0	88fba119-ccac-4b82-881f-e609e188bebc_0	a defense attorney
88fba119-ccac-4b82-881f-e609e188bebc	88fba119-ccac-4b82-881f-e609e188bebc_Q1	88fba119-ccac-4b82-881f-e609e188bebc_2	No
88fba119-ccac-4b82-881f-e609e188bebc	88fba119-ccac-4b82-881f-e609e188bebc_Q2	88fba119-ccac-4b82-881f-e609e188bebc_4	Yes
88fba119-ccac-4b82-881f-e609e188bebc	88fba119-ccac-4b82-881f-e609e188bebc_Q3	88fba119-ccac-4b82-881f-e609e188bebc_4	The client goes free
1cc75245-93bd-44cc-b076-8d1b249e1ee5	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q0	1cc75245-93bd-44cc-b076-8d1b249e1ee5_1	some pizza
1cc75245-93bd-44cc-b076-8d1b249e1ee5	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q1	1cc75245-93bd-44cc-b076-8d1b249e1ee5_2	Through an online website
1cc75245-93bd-44cc-b076-8d1b249e1ee5	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q2	1cc75245-93bd-44cc-b076-8d1b249e1ee5_3	a tip
1cc75245-93bd-44cc-b076-8d1b249e1ee5	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q3	1cc75245-93bd-44cc-b076-8d1b249e1ee5_4	it was burnt
bfa4ef8c-715d-4287-88a5-035611e34e40	bfa4ef8c-715d-4287-88a5-035611e34e40_Q0	bfa4ef8c-715d-4287-88a5-035611e34e40_0	dogs
bfa4ef8c-715d-4287-88a5-035611e34e40	bfa4ef8c-715d-4287-88a5-035611e34e40_Q1	bfa4ef8c-715d-4287-88a5-035611e34e40_1	His girlfriend
bfa4ef8c-715d-4287-88a5-035611e34e40	bfa4ef8c-715d-4287-88a5-035611e34e40_Q2	bfa4ef8c-715d-4287-88a5-035611e34e40_2	with therapy
bfa4ef8c-715d-4287-88a5-035611e34e40	bfa4ef8c-715d-4287-88a5-035611e34e40_Q3	bfa4ef8c-715d-4287-88a5-035611e34e40_3	a few months
210d56ce-a940-4766-9b7b-d086b2c5682d	210d56ce-a940-4766-9b7b-d086b2c5682d_Q0	210d56ce-a940-4766-9b7b-d086b2c5682d_0	he fell down
210d56ce-a940-4766-9b7b-d086b2c5682d	210d56ce-a940-4766-9b7b-d086b2c5682d_Q1	210d56ce-a940-4766-9b7b-d086b2c5682d_1	Yes, his knee was bleeding
210d56ce-a940-4766-9b7b-d086b2c5682d	210d56ce-a940-4766-9b7b-d086b2c5682d_Q2	210d56ce-a940-4766-9b7b-d086b2c5682d_2	With a handkerchief
210d56ce-a940-4766-9b7b-d086b2c5682d	210d56ce-a940-4766-9b7b-d086b2c5682d_Q3	210d56ce-a940-4766-9b7b-d086b2c5682d_4	peroxide and bandages
50357157-3765-40b5-8e32-f86961c98be0	50357157-3765-40b5-8e32-f86961c98be0_Q0	50357157-3765-40b5-8e32-f86961c98be0_0	in another city
50357157-3765-40b5-8e32-f86961c98be0	50357157-3765-40b5-8e32-f86961c98be0_Q1	50357157-3765-40b5-8e32-f86961c98be0_2,50357157-3765-40b5-8e32-f86961c98be0_3	her cousin
50357157-3765-40b5-8e32-f86961c98be0	50357157-3765-40b5-8e32-f86961c98be0_Q2	50357157-3765-40b5-8e32-f86961c98be0_3	Nicole bought her tickets
50357157-3765-40b5-8e32-f86961c98be0	50357157-3765-40b5-8e32-f86961c98be0_Q3	50357157-3765-40b5-8e32-f86961c98be0_4	They went to the concert and had a great time
006536d7-2be3-49a4-a750-769684e952ed	006536d7-2be3-49a4-a750-769684e952ed_Q0	006536d7-2be3-49a4-a750-769684e952ed_0	three in the morning
006536d7-2be3-49a4-a750-769684e952ed	006536d7-2be3-49a4-a750-769684e952ed_Q1	006536d7-2be3-49a4-a750-769684e952ed_1	a scratching sound
006536d7-2be3-49a4-a750-769684e952ed	006536d7-2be3-49a4-a750-769684e952ed_Q2	006536d7-2be3-49a4-a750-769684e952ed_1	the inside of the closet
006536d7-2be3-49a4-a750-769684e952ed	006536d7-2be3-49a4-a750-769684e952ed_Q3	006536d7-2be3-49a4-a750-769684e952ed_4	Their little brother
a111d580-1fb2-4ab1-848a-0856982dfcd5	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q0	a111d580-1fb2-4ab1-848a-0856982dfcd5_0	a bottle of beer
a111d580-1fb2-4ab1-848a-0856982dfcd5	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q1	a111d580-1fb2-4ab1-848a-0856982dfcd5_1	a popping noise
a111d580-1fb2-4ab1-848a-0856982dfcd5	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q2	a111d580-1fb2-4ab1-848a-0856982dfcd5_2	it burst
a111d580-1fb2-4ab1-848a-0856982dfcd5	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q3	a111d580-1fb2-4ab1-848a-0856982dfcd5_4	warm beer
790d9cb4-4832-49e8-8137-331e79a4b9e6	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q0	790d9cb4-4832-49e8-8137-331e79a4b9e6_0	Chistmas
790d9cb4-4832-49e8-8137-331e79a4b9e6	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q1	790d9cb4-4832-49e8-8137-331e79a4b9e6_2	presents
790d9cb4-4832-49e8-8137-331e79a4b9e6	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q2	790d9cb4-4832-49e8-8137-331e79a4b9e6_1	the tree
790d9cb4-4832-49e8-8137-331e79a4b9e6	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q3	790d9cb4-4832-49e8-8137-331e79a4b9e6_3	all of them
e663b977-2af7-4b1d-bd33-352d932f851b	e663b977-2af7-4b1d-bd33-352d932f851b_Q0	e663b977-2af7-4b1d-bd33-352d932f851b_0	her local fast food establishment
e663b977-2af7-4b1d-bd33-352d932f851b	e663b977-2af7-4b1d-bd33-352d932f851b_Q1	e663b977-2af7-4b1d-bd33-352d932f851b_1	No, she hated it
e663b977-2af7-4b1d-bd33-352d932f851b	e663b977-2af7-4b1d-bd33-352d932f851b_Q2	e663b977-2af7-4b1d-bd33-352d932f851b_2	her employees
