storyid	questionid	question
2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q2	Who suggested Bill to buy a trailer?
2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q3	How much was the truck?
c71bb23b-7731-4233-8298-76ba6886cee1	c71bb23b-7731-4233-8298-76ba6886cee1_Q0	What was John's job?
c71bb23b-7731-4233-8298-76ba6886cee1	c71bb23b-7731-4233-8298-76ba6886cee1_Q1	When did John sing his sermons?
c71bb23b-7731-4233-8298-76ba6886cee1	c71bb23b-7731-4233-8298-76ba6886cee1_Q2	Did John's congregation like the musical sermons?
c71bb23b-7731-4233-8298-76ba6886cee1	c71bb23b-7731-4233-8298-76ba6886cee1_Q3	How many people were in John's congregation?
4d7b022e-25d2-4300-a9b0-24ab35f4045b	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q0	Where did Melody's parents tool her to?
4d7b022e-25d2-4300-a9b0-24ab35f4045b	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q1	How long was the car ride to the aquarium?
4d7b022e-25d2-4300-a9b0-24ab35f4045b	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q2	What did Melody see at the aquarium?
4d7b022e-25d2-4300-a9b0-24ab35f4045b	4d7b022e-25d2-4300-a9b0-24ab35f4045b_Q3	How long did Melody stay at the aquarium?
8036c905-f23e-4976-83a1-85d679b5e0c2	8036c905-f23e-4976-83a1-85d679b5e0c2_Q0	Who announced a pop quiz?
8036c905-f23e-4976-83a1-85d679b5e0c2	8036c905-f23e-4976-83a1-85d679b5e0c2_Q1	When did I finish working on the exam?
8036c905-f23e-4976-83a1-85d679b5e0c2	8036c905-f23e-4976-83a1-85d679b5e0c2_Q2	Who complained about the pop quiz?
8036c905-f23e-4976-83a1-85d679b5e0c2	8036c905-f23e-4976-83a1-85d679b5e0c2_Q3	How did I feel after the quiz?
77338898-07d4-4143-8451-284540c8b082	77338898-07d4-4143-8451-284540c8b082_Q0	Where did my first girlfriend live?
77338898-07d4-4143-8451-284540c8b082	77338898-07d4-4143-8451-284540c8b082_Q1	How did I meet my first girlfriend?
77338898-07d4-4143-8451-284540c8b082	77338898-07d4-4143-8451-284540c8b082_Q2	How long did my girlfriend stay with me?
77338898-07d4-4143-8451-284540c8b082	77338898-07d4-4143-8451-284540c8b082_Q3	Why did my girlfriend moved in with me?
110fafd1-2bb7-4ffe-aac7-475706165d41	110fafd1-2bb7-4ffe-aac7-475706165d41_Q0	When did I get Charlie horse?
110fafd1-2bb7-4ffe-aac7-475706165d41	110fafd1-2bb7-4ffe-aac7-475706165d41_Q1	How old am I now?
110fafd1-2bb7-4ffe-aac7-475706165d41	110fafd1-2bb7-4ffe-aac7-475706165d41_Q2	What color is Charlie horse?
110fafd1-2bb7-4ffe-aac7-475706165d41	110fafd1-2bb7-4ffe-aac7-475706165d41_Q3	What did I like to do as I fell asleep cuddling him?
13573c2e-5eed-40eb-bbe5-ed259b5c76a6	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q0	What did Laura decide to grow?
13573c2e-5eed-40eb-bbe5-ed259b5c76a6	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q1	Where did Laura decide to grow corn?
13573c2e-5eed-40eb-bbe5-ed259b5c76a6	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q2	What did Laura realize?
13573c2e-5eed-40eb-bbe5-ed259b5c76a6	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q3	What idea did Laura decide to abandon?
c400d38a-54fc-45da-99ed-558fcfc81016	c400d38a-54fc-45da-99ed-558fcfc81016_Q0	What color was Andy's costume?
c400d38a-54fc-45da-99ed-558fcfc81016	c400d38a-54fc-45da-99ed-558fcfc81016_Q1	What color did Andy get his hair done?
c400d38a-54fc-45da-99ed-558fcfc81016	c400d38a-54fc-45da-99ed-558fcfc81016_Q2	Who colored Andy's hair?
c400d38a-54fc-45da-99ed-558fcfc81016	c400d38a-54fc-45da-99ed-558fcfc81016_Q3	Did Andy like his new hair color?
8fbef343-8806-4bcf-9326-08ca6ebf6cb9	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_Q0	What sports was Luke playing at school?
8fbef343-8806-4bcf-9326-08ca6ebf6cb9	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_Q1	Who made the winning shot?
8fbef343-8806-4bcf-9326-08ca6ebf6cb9	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_Q2	Who cheered for the winning shot?
8fbef343-8806-4bcf-9326-08ca6ebf6cb9	8fbef343-8806-4bcf-9326-08ca6ebf6cb9_Q3	Hopw did Luke feel after the winning shot?
3be3719a-ae77-4106-88ea-988afb19db99	3be3719a-ae77-4106-88ea-988afb19db99_Q0	What happened to Robbie halfway through the competition?
3be3719a-ae77-4106-88ea-988afb19db99	3be3719a-ae77-4106-88ea-988afb19db99_Q1	How long did Robbie stop for?
3be3719a-ae77-4106-88ea-988afb19db99	3be3719a-ae77-4106-88ea-988afb19db99_Q2	Did Robbie finish the race?
3be3719a-ae77-4106-88ea-988afb19db99	3be3719a-ae77-4106-88ea-988afb19db99_Q3	What was Robbie's rank in the race?
a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_Q0	Who was graduating from college?
a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_Q1	Where was the graduation ceremony?
a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_Q2	Did Jude get to the graduation ceremony in time?
a8d6e66b-da81-4dc7-a470-67f2ab32b9e6	a8d6e66b-da81-4dc7-a470-67f2ab32b9e6_Q3	What did Jude decide to grow in his backyard?
8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q0	Who did Beth sent the letter to?
8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q1	What did Beth receive back?
8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q2	Did Beth think it sounded like the real Santa?
8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba	8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba_Q3	What did Beth call that Santa?
b94e1810-9869-4af6-bb74-b4a51c46f3d2	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q0	How did Jake go to the store?
b94e1810-9869-4af6-bb74-b4a51c46f3d2	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q1	Who was working?
b94e1810-9869-4af6-bb74-b4a51c46f3d2	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q2	Who was watching a movie?
b94e1810-9869-4af6-bb74-b4a51c46f3d2	b94e1810-9869-4af6-bb74-b4a51c46f3d2_Q3	What did Jake need to buy from the store?
ae7e744e-fd27-46c2-befb-7e8427cb679c	ae7e744e-fd27-46c2-befb-7e8427cb679c_Q0	What is my dog terrified of?
ae7e744e-fd27-46c2-befb-7e8427cb679c	ae7e744e-fd27-46c2-befb-7e8427cb679c_Q1	Where did my dog hide?
f3643541-c339-4377-851d-144ea400d551	f3643541-c339-4377-851d-144ea400d551_Q0	What happened to Meg's mom?
f3643541-c339-4377-851d-144ea400d551	f3643541-c339-4377-851d-144ea400d551_Q1	Who was Meg's dad?
f3643541-c339-4377-851d-144ea400d551	f3643541-c339-4377-851d-144ea400d551_Q2	How long after his wife died did Eric marry?
f3643541-c339-4377-851d-144ea400d551	f3643541-c339-4377-851d-144ea400d551_Q3	Who were very sad?
2ef3788f-6b2b-45c8-b6ba-71450d565e6a	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q0	Where did I go last year?
2ef3788f-6b2b-45c8-b6ba-71450d565e6a	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q1	Where did we had lunch?
2ef3788f-6b2b-45c8-b6ba-71450d565e6a	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q2	How did I go to Maine?
2ef3788f-6b2b-45c8-b6ba-71450d565e6a	2ef3788f-6b2b-45c8-b6ba-71450d565e6a_Q3	Who drove me back to the train station?
9a66b66d-034d-495e-a60e-e22c25e0e0fa	9a66b66d-034d-495e-a60e-e22c25e0e0fa_Q0	What did Heather and her family want for dinner?
9a66b66d-034d-495e-a60e-e22c25e0e0fa	9a66b66d-034d-495e-a60e-e22c25e0e0fa_Q1	Who prepared the tacos?
aab4ee80-fc00-4d9c-a127-a63b54dfd193	aab4ee80-fc00-4d9c-a127-a63b54dfd193_Q0	What was the name of Anna's dog?
a107d361-e8a4-4cb6-8ffb-623a4c49ee1e	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q0	How many kids did Stacy want originally?
a107d361-e8a4-4cb6-8ffb-623a4c49ee1e	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q1	How many kids did Bob and Stacy have?
a107d361-e8a4-4cb6-8ffb-623a4c49ee1e	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q2	What is Stacy doing with all her maternity and babcy clothes?
a107d361-e8a4-4cb6-8ffb-623a4c49ee1e	a107d361-e8a4-4cb6-8ffb-623a4c49ee1e_Q3	Does Stacy still want five kids?
04c164f6-da41-48a3-8aa3-eb7b650bb5f0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q0	Where did Larry work?
04c164f6-da41-48a3-8aa3-eb7b650bb5f0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q1	Was Larry fond of this job?
04c164f6-da41-48a3-8aa3-eb7b650bb5f0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q2	How old is Larry?
04c164f6-da41-48a3-8aa3-eb7b650bb5f0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q3	What happened at the party?
8ca3cedb-510e-4454-ba08-93eaa605563b	8ca3cedb-510e-4454-ba08-93eaa605563b_Q0	How old was Ava?
8ca3cedb-510e-4454-ba08-93eaa605563b	8ca3cedb-510e-4454-ba08-93eaa605563b_Q1	Who taught Ava the basics of swimming?
8ca3cedb-510e-4454-ba08-93eaa605563b	8ca3cedb-510e-4454-ba08-93eaa605563b_Q2	Was Ava able to paddle all by herself afterwards?
8ca3cedb-510e-4454-ba08-93eaa605563b	8ca3cedb-510e-4454-ba08-93eaa605563b_Q3	Where did Ava's mom took her to learn to swim?
271616db-90c2-4303-9c2b-64f4061ceb56	271616db-90c2-4303-9c2b-64f4061ceb56_Q0	What was on the ground?
271616db-90c2-4303-9c2b-64f4061ceb56	271616db-90c2-4303-9c2b-64f4061ceb56_Q1	Where did he bring the wallet?
271616db-90c2-4303-9c2b-64f4061ceb56	271616db-90c2-4303-9c2b-64f4061ceb56_Q2	When did the phone ring?
271616db-90c2-4303-9c2b-64f4061ceb56	271616db-90c2-4303-9c2b-64f4061ceb56_Q3	Who called James?
b93f956f-2256-4c6d-91d2-7675dff455f0	b93f956f-2256-4c6d-91d2-7675dff455f0_Q0	Who jumped on people?
b93f956f-2256-4c6d-91d2-7675dff455f0	b93f956f-2256-4c6d-91d2-7675dff455f0_Q1	Who did Chad hire?
b93f956f-2256-4c6d-91d2-7675dff455f0	b93f956f-2256-4c6d-91d2-7675dff455f0_Q2	What did the trainer teach the dog?
b93f956f-2256-4c6d-91d2-7675dff455f0	b93f956f-2256-4c6d-91d2-7675dff455f0_Q3	Why was Chad proud?
d869c6d9-4a06-4d94-bf97-dc37167a5520	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q0	When was Karl a good baseball player?
d869c6d9-4a06-4d94-bf97-dc37167a5520	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q1	What did Karl join?
d869c6d9-4a06-4d94-bf97-dc37167a5520	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q2	What is Karl like?
d869c6d9-4a06-4d94-bf97-dc37167a5520	d869c6d9-4a06-4d94-bf97-dc37167a5520_Q3	How did he hurt his knee?
f7559f25-0358-4f57-b079-dec2199b4ec3	f7559f25-0358-4f57-b079-dec2199b4ec3_Q0	What was Nick trying to buy?
f7559f25-0358-4f57-b079-dec2199b4ec3	f7559f25-0358-4f57-b079-dec2199b4ec3_Q1	Who couldn't Nick trust?
f7559f25-0358-4f57-b079-dec2199b4ec3	f7559f25-0358-4f57-b079-dec2199b4ec3_Q2	Why did he decide to move out?
f7559f25-0358-4f57-b079-dec2199b4ec3	f7559f25-0358-4f57-b079-dec2199b4ec3_Q3	How quickly did he move out?
1e379d2b-69e8-485e-92ac-4c3daa41e364	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q0	What did jody buy?
1e379d2b-69e8-485e-92ac-4c3daa41e364	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q1	Where did Jody buy the goldfish?
1e379d2b-69e8-485e-92ac-4c3daa41e364	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q2	Why did the goldfish look fat?
1e379d2b-69e8-485e-92ac-4c3daa41e364	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q3	What happened to the goldfish?
0dd3e2c3-3ea4-450a-97c4-42a54c426018	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q0	What had Jane gotten?
0dd3e2c3-3ea4-450a-97c4-42a54c426018	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q1	What was she nervous about?
0dd3e2c3-3ea4-450a-97c4-42a54c426018	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q2	When did Jane arrive at work?
0dd3e2c3-3ea4-450a-97c4-42a54c426018	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q3	How was her first day at work?
865db3c4-a253-4d35-8766-25fc7e0a8cfb	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q0	Where was Jill going?
865db3c4-a253-4d35-8766-25fc7e0a8cfb	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q1	What did she marvel at?
865db3c4-a253-4d35-8766-25fc7e0a8cfb	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q2	Where did she come from?
865db3c4-a253-4d35-8766-25fc7e0a8cfb	865db3c4-a253-4d35-8766-25fc7e0a8cfb_Q3	How was her trip?
88fba119-ccac-4b82-881f-e609e188bebc	88fba119-ccac-4b82-881f-e609e188bebc_Q0	What is Chris?
88fba119-ccac-4b82-881f-e609e188bebc	88fba119-ccac-4b82-881f-e609e188bebc_Q1	Was the client guilty?
88fba119-ccac-4b82-881f-e609e188bebc	88fba119-ccac-4b82-881f-e609e188bebc_Q2	Does Chris win the case?
88fba119-ccac-4b82-881f-e609e188bebc	88fba119-ccac-4b82-881f-e609e188bebc_Q3	What happens to the client?
1cc75245-93bd-44cc-b076-8d1b249e1ee5	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q0	What did Julie order?
1cc75245-93bd-44cc-b076-8d1b249e1ee5	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q1	How did Julie order food?
1cc75245-93bd-44cc-b076-8d1b249e1ee5	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q2	What did she give the driver?
1cc75245-93bd-44cc-b076-8d1b249e1ee5	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q3	How was the pizza?
bfa4ef8c-715d-4287-88a5-035611e34e40	bfa4ef8c-715d-4287-88a5-035611e34e40_Q0	What was Justin terrified of?
bfa4ef8c-715d-4287-88a5-035611e34e40	bfa4ef8c-715d-4287-88a5-035611e34e40_Q1	Who had a dog?
bfa4ef8c-715d-4287-88a5-035611e34e40	bfa4ef8c-715d-4287-88a5-035611e34e40_Q2	How did Justin get over his fear?
bfa4ef8c-715d-4287-88a5-035611e34e40	bfa4ef8c-715d-4287-88a5-035611e34e40_Q3	How long did it take him to get over his fear?
210d56ce-a940-4766-9b7b-d086b2c5682d	210d56ce-a940-4766-9b7b-d086b2c5682d_Q0	What happened to David?
210d56ce-a940-4766-9b7b-d086b2c5682d	210d56ce-a940-4766-9b7b-d086b2c5682d_Q1	Did he get hurt?
210d56ce-a940-4766-9b7b-d086b2c5682d	210d56ce-a940-4766-9b7b-d086b2c5682d_Q2	How did he stop the bleeding?
210d56ce-a940-4766-9b7b-d086b2c5682d	210d56ce-a940-4766-9b7b-d086b2c5682d_Q3	What did he buy at the pharmacy?
50357157-3765-40b5-8e32-f86961c98be0	50357157-3765-40b5-8e32-f86961c98be0_Q0	Where was the concert?
50357157-3765-40b5-8e32-f86961c98be0	50357157-3765-40b5-8e32-f86961c98be0_Q1	Who took her to the concert?
50357157-3765-40b5-8e32-f86961c98be0	50357157-3765-40b5-8e32-f86961c98be0_Q2	Why did she agree to drive?
50357157-3765-40b5-8e32-f86961c98be0	50357157-3765-40b5-8e32-f86961c98be0_Q3	What happened in the end?
006536d7-2be3-49a4-a750-769684e952ed	006536d7-2be3-49a4-a750-769684e952ed_Q0	When did they wake?
006536d7-2be3-49a4-a750-769684e952ed	006536d7-2be3-49a4-a750-769684e952ed_Q1	What did they hear?
006536d7-2be3-49a4-a750-769684e952ed	006536d7-2be3-49a4-a750-769684e952ed_Q2	Where was the sound coming from?
006536d7-2be3-49a4-a750-769684e952ed	006536d7-2be3-49a4-a750-769684e952ed_Q3	Who was in the closet?
a111d580-1fb2-4ab1-848a-0856982dfcd5	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q0	What did Ken put in the freezer?
a111d580-1fb2-4ab1-848a-0856982dfcd5	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q1	What did he hear?
a111d580-1fb2-4ab1-848a-0856982dfcd5	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q2	what happened to the bottle?
a111d580-1fb2-4ab1-848a-0856982dfcd5	a111d580-1fb2-4ab1-848a-0856982dfcd5_Q3	What did he drink?
790d9cb4-4832-49e8-8137-331e79a4b9e6	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q0	What was Tyler's favorite holiday?
790d9cb4-4832-49e8-8137-331e79a4b9e6	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q1	What did Tyler see?
790d9cb4-4832-49e8-8137-331e79a4b9e6	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q2	What did he see downstairs?
790d9cb4-4832-49e8-8137-331e79a4b9e6	790d9cb4-4832-49e8-8137-331e79a4b9e6_Q3	How many presents did Tyler open?
e663b977-2af7-4b1d-bd33-352d932f851b	e663b977-2af7-4b1d-bd33-352d932f851b_Q0	Where did Wendy work?
e663b977-2af7-4b1d-bd33-352d932f851b	e663b977-2af7-4b1d-bd33-352d932f851b_Q1	Did she like her job?
e663b977-2af7-4b1d-bd33-352d932f851b	e663b977-2af7-4b1d-bd33-352d932f851b_Q2	Who was annoying her?
e663b977-2af7-4b1d-bd33-352d932f851b	e663b977-2af7-4b1d-bd33-352d932f851b_Q3	Who did she fire?
375c34c9-3d98-4b2f-9076-404f34ad4e66	375c34c9-3d98-4b2f-9076-404f34ad4e66_Q0	Why was Walter worried?
375c34c9-3d98-4b2f-9076-404f34ad4e66	375c34c9-3d98-4b2f-9076-404f34ad4e66_Q1	Who did Walter consult with?
375c34c9-3d98-4b2f-9076-404f34ad4e66	375c34c9-3d98-4b2f-9076-404f34ad4e66_Q2	What did the vet discover?
375c34c9-3d98-4b2f-9076-404f34ad4e66	375c34c9-3d98-4b2f-9076-404f34ad4e66_Q3	What solved the issue?
6ebc8d48-029b-4f00-89b3-773ce802825e	6ebc8d48-029b-4f00-89b3-773ce802825e_Q0	Where did the couple take a romantic trip?
6ebc8d48-029b-4f00-89b3-773ce802825e	6ebc8d48-029b-4f00-89b3-773ce802825e_Q1	Where did they stay?
6ebc8d48-029b-4f00-89b3-773ce802825e	6ebc8d48-029b-4f00-89b3-773ce802825e_Q2	What did they do?
6ebc8d48-029b-4f00-89b3-773ce802825e	6ebc8d48-029b-4f00-89b3-773ce802825e_Q3	What did they do when they returned home?
5e76713f-92b2-4a5d-8f8d-510fde45705c	5e76713f-92b2-4a5d-8f8d-510fde45705c_Q0	Where was the family going?
5e76713f-92b2-4a5d-8f8d-510fde45705c	5e76713f-92b2-4a5d-8f8d-510fde45705c_Q1	Why were they excited?
5e76713f-92b2-4a5d-8f8d-510fde45705c	5e76713f-92b2-4a5d-8f8d-510fde45705c_Q2	What did they see?
5e76713f-92b2-4a5d-8f8d-510fde45705c	5e76713f-92b2-4a5d-8f8d-510fde45705c_Q3	How long were they there?
712702cc-f042-4ca5-84dc-ada756cc8959	712702cc-f042-4ca5-84dc-ada756cc8959_Q0	Where did they go?
712702cc-f042-4ca5-84dc-ada756cc8959	712702cc-f042-4ca5-84dc-ada756cc8959_Q1	What did they order?
712702cc-f042-4ca5-84dc-ada756cc8959	712702cc-f042-4ca5-84dc-ada756cc8959_Q2	What did they put on the fries?
712702cc-f042-4ca5-84dc-ada756cc8959	712702cc-f042-4ca5-84dc-ada756cc8959_Q3	Did they like ketchup?
61550fe1-c17d-4b94-b225-941026bdb68e	61550fe1-c17d-4b94-b225-941026bdb68e_Q0	What did the woman want to start?
61550fe1-c17d-4b94-b225-941026bdb68e	61550fe1-c17d-4b94-b225-941026bdb68e_Q1	Where did she go?
61550fe1-c17d-4b94-b225-941026bdb68e	61550fe1-c17d-4b94-b225-941026bdb68e_Q2	What did she create?
61550fe1-c17d-4b94-b225-941026bdb68e	61550fe1-c17d-4b94-b225-941026bdb68e_Q3	Where did she put it?
mc500.train.0	mc500.train.0_Q0	Why did Alyssa go to Miami?
mc500.train.0	mc500.train.0_Q1	What did Ellen order?
mc500.train.0	mc500.train.0_Q2	who had soup?
mc500.train.0	mc500.train.0_Q3	where did Alyssa travel from?
mc500.train.0	mc500.train.0_Q4	What makes Alyssa happy?
mc500.train.0	mc500.train.0_Q5	Why did they stay the night?
mc500.train.0	mc500.train.0_Q6	Who traded stories?
mc500.train.0	mc500.train.0_Q7	Who went to the beach?
mc500.train.0	mc500.train.0_Q8	What was the restaurant's special?
mc500.train.0	mc500.train.0_Q9	What did Kristin have to eat?
mc500.train.0	mc500.train.0_Q10	Where did the girls go for dinner?
mc500.train.0	mc500.train.0_Q11	Where did Alyssa meet her friends?
mc500.train.0	mc500.train.0_Q12	What did Ellen and Alyssa have to drink?
mc500.train.0	mc500.train.0_Q13	What did the ladies do after dinner?
mc500.train.0	mc500.train.0_Q14	Did Alyssa and her friends have a lot of fun?
mc500.train.0	mc500.train.0_Q15	Did Alyssa go swimming?
mc500.train.0	mc500.train.0_Q16	What did she do while at the beach?
mc500.train.0	mc500.train.0_Q17	Did Alyssa take a long trip?
mc500.train.0	mc500.train.0_Q18	What city is Alyssa in?
mc500.train.0	mc500.train.0_Q19	What did Alyssa eat at the restaurant?
mc500.train.0	mc500.train.0_Q20	Who did Alyssa call?
mc500.train.0	mc500.train.0_Q21	Why did the ladies go back to Ellen's house?
mc500.train.0	mc500.train.0_Q22	In Miami, where did Alyssa go first?
mc500.train.0	mc500.train.0_Q23	Where did Alyssa go after the beach?
mc500.train.18	mc500.train.18_Q0	When did Kelly wake up?
mc500.train.18	mc500.train.18_Q1	what did Kelly do after she woke up?
mc500.train.18	mc500.train.18_Q2	What is big and beautiful?
mc500.train.18	mc500.train.18_Q3	what did Kelly get?
mc500.train.18	mc500.train.18_Q4	What did Kelly collect as a present?
mc500.train.18	mc500.train.18_Q5	Where were the best flowers?
mc500.train.18	mc500.train.18_Q6	Where did Kelly finally hide the flowers?
mc500.train.18	mc500.train.18_Q7	Why was Kelly in a hurry?
mc500.train.18	mc500.train.18_Q8	How did Kelly feel when her mother woke up?
mc500.train.18	mc500.train.18_Q9	what size were the orange ones?
mc500.train.18	mc500.train.18_Q10	what did Kelly hide?
mc500.train.18	mc500.train.18_Q11	Which flower was mother's favorite?
mc500.train.18	mc500.train.18_Q12	What time did Kelly's mother wake up?
mc500.train.18	mc500.train.18_Q13	What did Kelly use to tie the flowers together?
mc500.train.18	mc500.train.18_Q14	what did Kelly give her mom as a present?
mc500.train.18	mc500.train.18_Q15	What was her baby sister's name?
mc500.train.18	mc500.train.18_Q16	Why did Kelly hide the flowers a second time?
mc500.train.18	mc500.train.18_Q17	What did she tie together with a string?
mc500.train.18	mc500.train.18_Q18	where did she pick flowers flowers?
mc500.train.18	mc500.train.18_Q19	Which flowers were big?
mc500.train.18	mc500.train.18_Q20	After she woke up, where did Kelly go?
mc500.train.18	mc500.train.18_Q21	What did Kelly do after she had collected the flowers?
mc500.train.23	mc500.train.23_Q0	When was Andrew bored?
mc500.train.23	mc500.train.23_Q1	What day was it?
mc500.train.23	mc500.train.23_Q2	Where did Andrew look?
mc500.train.23	mc500.train.23_Q3	what did Andrew see by the door?
mc500.train.23	mc500.train.23_Q4	Where was the picture of the elephant?
mc500.train.23	mc500.train.23_Q5	How long had Andrew been watching TV?
mc500.train.23	mc500.train.23_Q6	What did Andrew and his dad read?
mc500.train.23	mc500.train.23_Q7	Where was the circus?
mc500.train.23	mc500.train.23_Q8	Had Andrew ever been to the circus?
mc500.train.23	mc500.train.23_Q9	What did Andrew feed the goldfish?
mc500.train.23	mc500.train.23_Q10	Who did lots of tricks?
mc500.train.23	mc500.train.23_Q11	What did Andrew and his dad eat?
mc500.train.23	mc500.train.23_Q12	Where did Andrew and his dad have fun?
mc500.train.23	mc500.train.23_Q13	Where did Andrew and his dad go?
mc500.train.23	mc500.train.23_Q14	Where was the newspaper?
mc500.train.23	mc500.train.23_Q15	Who went down the slide?
mc500.train.23	mc500.train.23_Q16	What were the animals at the circus doing?
mc500.train.23	mc500.train.23_Q17	What did he bring to his dad?
mc500.train.23	mc500.train.23_Q18	What did Andrew need to do before he could go to the circus?
